製品大カテゴリ(業界大カテゴリ),製品中カテゴリ(業界中カテゴリ),企業名,企業ページ,扱っている製品などの会社説明,住所,製品カテゴリページURL（=製品中カテゴリページ）,企業サイトURL,企業問い合わせURL
製造業界,電気製品業界,パナソニックホールディングス株式会社,https://baseconnect.in/companies/64f5357b-2090-4b31-af31-8cefb075753a,電子機器や産業用機器の製造販売に加え、情報処理サービスの提供等にも取り組む会社, 大阪府門真市大字門真１００６番地,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://holdings.panasonic/jp/,
製造業界,製造業界,ＪＦＥスチール株式会社,https://baseconnect.in/companies/98e763fd-2282-4260-8633-f32df511bf97,薄板や厚板および形鋼など鉄鋼製品の製造を行う会社, 東京都千代田区内幸町２丁目２番３号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.jfe-steel.co.jp/,https://www.jfe-steel.co.jp/toiawase.html
製造業界,製造業界,日本製鉄株式会社,https://baseconnect.in/companies/e09b6b29-aae1-4ed8-9c51-551b2b50cbc2,製鉄事業として、条鋼や鋼板および特殊綱などの製造を行う会社, 東京都千代田区丸の内２丁目６番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,,
製造業界,製造業界,ビューテック化工株式会社,https://baseconnect.in/companies/b258f6a8-e2df-41c2-96e6-833165fbcb1e,大型バスの金属部品の製作を行う会社, 富山県富山市婦中町板倉新１７７番地１,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.vuteq.co.jp/group/bus/kako/,https://www.vuteq.co.jp/contact/
製造業界,自動車・乗り物業界,川崎重工業株式会社,https://baseconnect.in/companies/9e56bcf4-7f03-4ea8-a067-00c951fc9e0f,航空機やエンジンなどの輸送機器関連製品およびプラント設備などの製造・販売を行う会社, 兵庫県神戸市中央区東川崎町３丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.khi.co.jp/,https://www.khi.co.jp/corporate/contacts/
製造業界,化学業界,三菱ケミカル株式会社,https://baseconnect.in/companies/666e4e4e-343f-4a54-abc3-e5c94e64d40b,機能性ポリマー等の機能商品の製造と卸売を行う会社, 東京都千代田区丸の内１丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.m-chemical.co.jp/index.html,https://www.m-chemical.co.jp/contact/index.html
製造業界,その他サービス業界,綜合警備保障株式会社,https://baseconnect.in/companies/98c86a60-2792-497a-bc23-49855d705091,契約先に警報機器を設置し、異常発生時に警備員が対応するサービスの提供を行う会社, 東京都港区元赤坂１丁目６番６号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.alsok.co.jp/,
製造業界,製造業界,株式会社神戸製鋼所,https://baseconnect.in/companies/b4e272b1-1054-48d0-b794-9738836f3f3e,条鋼や鋼板ならびに溶接材料やアルミ板などの製造や販売を行う会社, 兵庫県神戸市中央区脇浜海岸通２丁目２番４号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.kobelco.co.jp/,https://www.kobelco.co.jp/inquiry/
製造業界,広告業界,ＴＯＰＰＡＮホールディングス株式会社,https://baseconnect.in/companies/03c9c077-00c5-4fa8-97bd-3ba50b904154,印刷技術を基盤とした商品の製造販売を行う会社, 東京都台東区台東１丁目５番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.toppan.co.jp/,https://www.toppan.co.jp/inquiry.html
製造業界,広告業界,大日本印刷株式会社,https://baseconnect.in/companies/1f5dfbec-c79f-40a3-ad01-29f9b1b47fa3,印刷加工事業や情報通信事業などを行う会社, 東京都新宿区市谷加賀町１丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.dnp.co.jp/,https://www.dnp.co.jp/CGI/contact/form.cgi?mode=privacy
製造業界,化学業界,旭化成株式会社,https://baseconnect.in/companies/dc02ac94-8402-4e28-bbf5-1ce76f1a7855,繊維製品の製造や住宅の建築などを行う会社, 東京都千代田区有楽町１丁目１番２号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.asahi-kasei.co.jp/asahi/jp/,http://www.asahi-kasei.co.jp/asahi/jp/contact_us/
製造業界,製造業界,ＡＧＣ株式会社,https://baseconnect.in/companies/54228aa3-19b3-4b76-ae05-1917e033e682,建築用や自動車、電子機器部品に使用されるガラス製品ならびに化学品の製造や販売を行う会社, 東京都千代田区丸の内１丁目５番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.agc.com/,https://www.agc.com/contact/index.html
製造業界,IT業界,東芝インフラシステムズ株式会社,https://baseconnect.in/companies/c7f616fb-b6b0-4a41-a27e-0e8cae55dddd,航空保安管制システムや上下水道システムなどの社会インフラシステムの開発や販売を行う会社, 神奈川県川崎市幸区堀川町７２番地３４,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.toshiba.co.jp/infrastructure/index_j.htm,https://www.global.toshiba/jp/contact/infrastructure.html
製造業界,製造業界,東レ株式会社,https://baseconnect.in/companies/ec05dd99-056f-41c4-b7b9-c7a38a21a47e,繊維製品や機能化成品および機能膜などの製造・販売を行う会社, 東京都中央区日本橋室町２丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.toray.co.jp/,https://www.toray.co.jp/contact/?s=https://www.toray.co.jp/aboutus/network/headoffice.html
製造業界,製造業界,住友電気工業株式会社,https://baseconnect.in/companies/4c517fa8-5d50-40d0-87c3-dc4d239901d2,自動車関連製品や情報通信関連製品などの開発・製造を行う会社, 大阪府大阪市中央区北浜４丁目５番３３号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://sumitomoelectric.com/jp/,https://sumitomoelectric.com/jp/contact-us
製造業界,製造業界,三菱マテリアル株式会社,https://baseconnect.in/companies/461d4db6-01f9-4bb7-bac8-79b56e788ff3,銅加工品や電子材料およびアルミ製品などの製造や販売を行う会社, 東京都千代田区丸の内３丁目２番３号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.mmc.co.jp/corporate/ja/,https://www.mmc.co.jp/corporate/ja/contact/
製造業界,製造業界,株式会社プロテリアル,https://baseconnect.in/companies/9b98d4b3-e974-4ff3-9e0d-d52c4309a618,特殊鋼製品「YSSヤスキハガネ」や磁性材料などの製造販売を行う会社, 東京都江東区豊洲５丁目６番３６号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.hitachi-metals.co.jp/,https://www.hitachi-metals.co.jp/cntct/indx_cntct.html
製造業界,機械業界,ＴＤＫ株式会社,https://baseconnect.in/companies/a5f9b2ae-2630-443d-9d1f-94169b970b3a,コンデンサなどの受動部品やセンサ応用製品の製造および販売を手掛ける会社, 東京都中央区日本橋２丁目５番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.tdk.com/ja/index.html,
製造業界,不動産業界,大成株式会社,https://baseconnect.in/companies/db1aeaec-9a49-40ce-bdd5-42ae2537039f,ファシリティマネジメントや海外事業およびコンサルティングを行う会社, 愛知県名古屋市中区栄３丁目３１番１２号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.taisei-bm.co.jp/,https://www.taisei-bm.co.jp/contact/
製造業界,機械業界,アズビル株式会社,https://baseconnect.in/companies/31cda536-e682-4ded-b45c-1f99022a998e,セキュリティシステムやアプリケーションソフトの開発および販売を行う会社, 東京都千代田区丸の内２丁目７番３号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://jp.yamatake.com/,http://www.azbil.com/jp/inquiry/index.html
製造業界,エネルギー業界,九州電力送配電株式会社,https://baseconnect.in/companies/a4d9fd31-8f1f-43e6-9264-1d9cfe583679,一般送配電や電力事業コンサルティングなどを行う会社, 福岡県福岡市中央区渡辺通２丁目１番８２号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.kyuden.co.jp/td_index.html,https://www1.kyuden.co.jp/td_php/inquires/index.php/menu
製造業界,製造業界,日本製紙株式会社,https://baseconnect.in/companies/c136e4b0-d8a5-429e-8cb1-9ce5a8e4dbfa,洋紙や板紙、パルプなどの製造販売および製造仕入れなどを行う会社, 東京都北区王子１丁目４番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.nipponpapergroup.com/,https://www.nipponpapergroup.com/inquire/
製造業界,製造業界,株式会社ＤＮＰテクノパック,https://baseconnect.in/companies/a819b55f-9d04-4136-b98c-38cc926d62d9,包装用品の製造や加工を行う会社, 東京都新宿区市谷加賀町１丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.dnp.co.jp/corporate/information/location/list/index.html,https://www.dnp.co.jp/contact/
製造業界,建設・工事業界,三協立山株式会社,https://baseconnect.in/companies/81c375e7-8108-477b-90be-6aa1de8bdfda,サッシやドアなどのビル用建材の開発・製造・販売を行う会社, 富山県高岡市早川７０番地,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.st-grp.co.jp/,
製造業界,化学業界,三井化学株式会社,https://baseconnect.in/companies/121f66dd-06ce-423d-8c45-3f9e57ad94a5,機能性コンパウンドや歯科材料などの製造および販売を行う会社, 東京都中央区八重洲２丁目２番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://jp.mitsuichemicals.com/jp/index.htm,https://jp.mitsuichemicals.com/jp/contact/
製造業界,製造業界,プライムアースＥＶエナジー株式会社,https://baseconnect.in/companies/4c4fd37f-77b2-4fa1-86c1-97b82f32a86c,エコカー用二次電池の開発および製造を行う会社, 静岡県湖西市岡崎２０番地,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.peve.jp/,
製造業界,製造業界,ミネベアミツミ株式会社,https://baseconnect.in/companies/e36f08bb-d18e-4104-971f-189a9becf8f2,ベアリングなどの機械加工品や電子機器の製造および販売を行う会社, 長野県北佐久郡御代田町大字御代田４１０６番地７３,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.minebeamitsumi.com/,
製造業界,機械業界,コニカミノルタ株式会社,https://baseconnect.in/companies/2de08e05-f385-4072-b6c8-0e9a822e05c3,オフィス用複合機などの開発や製造および販売を行う会社, 東京都千代田区丸の内２丁目７番２号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.konicaminolta.com/jp-ja/index.html,https://www.konicaminolta.com/jp-ja/contact/index.html
製造業界,医療・福祉業界,ニプロ株式会社,https://baseconnect.in/companies/2db86c77-f473-46df-b129-84dd0f49d8d1,医療機器や医薬品、医療用硝子製品などの製造および販売を行う会社, 大阪府摂津市千里丘新町３番２６号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.nipro.co.jp/,https://www.nipro.co.jp/contact/
製造業界,自動車・乗り物業界,日本碍子株式会社,https://baseconnect.in/companies/2bd3944b-a7cc-4b9e-9d3d-19a127be385f,自動車用などセラミックス製品や電力用がいしの製造および卸売を行う会社, 愛知県名古屋市瑞穂区須田町２番５６号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.ngk.co.jp/,https://www.ngk.co.jp/contact/
製造業界,広告業界,株式会社ＤＮＰデータテクノ,https://baseconnect.in/companies/ea148176-f831-4a1c-8474-78d212e8cd66,BPOサービスやクレジットカードの製造などを手掛ける会社, 埼玉県蕨市錦町４丁目５番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.dnp.co.jp/group/dnp-datatechno/,
製造業界,機械業界,古河電気工業株式会社,https://baseconnect.in/companies/4b15cae7-394b-434f-8b35-a99432230188,線路製品・施工ツールや情報通信関連製品、産業機器関連機材などの製造・販売を行う会社, 東京都千代田区大手町２丁目６番４号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.furukawa.co.jp/,https://www.furukawa.co.jp/srm/form/index.php?id=other
製造業界,製造業界,レンゴー株式会社,https://baseconnect.in/companies/f22e1fdf-a4b3-4c25-a4d7-5c760d3fab43,板紙や段ボール箱及びセロファン等の製造販売を手掛ける会社, 大阪府大阪市福島区大開４丁目１番１８６号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.rengo.co.jp/,https://www.rengo.co.jp/inquiry.html
製造業界,機械業界,大宝工業株式会社,https://baseconnect.in/companies/21f829b7-de3c-4dc6-9987-0a0bc53a8a68,プラスチック用金型の設計製造などを行う会社, 大阪府守口市大日町１丁目３番７号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.daiho-hq.com/,
製造業界,機械関連サービス業界,ソニーグローバルマニュファクチャリング＆オペレーションズ株式会社,https://baseconnect.in/companies/684cf89d-9634-4bcf-9e90-51d9bde054cd,ものづくりサービスの提供を行う会社, 東京都港区港南１丁目７番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.sony-global-mo.co.jp/index.html,
製造業界,化学業界,デンカ株式会社,https://baseconnect.in/companies/19f6b4fa-77ac-4f3b-b14d-404db489e346,機能樹脂やファインセラミックスなど化学製品の製造を行う会社, 東京都中央区日本橋室町２丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.denka.co.jp/#top,https://www.denka.co.jp/contact/
製造業界,製造業界,ＴＨＫ株式会社,https://baseconnect.in/companies/315b2b7e-b293-4aa6-8a9f-20cd2b6a1edf,工作機械などに使用される動力伝達部品などの製造及び販売を行う会社, 東京都港区芝浦２丁目１２番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.thk.com/jp/ja/,https://tech.thk.com/contact2/inquiry.php?r=r&l=ja&_ga=2.243496453.1059313953.1685695079-1921574868.1685695078
製造業界,建設・工事業界,日立造船株式会社,https://baseconnect.in/companies/4b6571d3-5e75-432b-87af-af872a239de5,環境装置やプラントの製造を行う会社, 大阪府大阪市住之江区南港北１丁目７番８９号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.hitachizosen.co.jp/,https://www.hitachizosen.co.jp/contact/
製造業界,自動車・乗り物業界,ビューテック株式会社,https://baseconnect.in/companies/ff1b1b0d-85cd-4a13-8550-4be95486a1b0,自動車用のガラス組付や樹脂部品の製造を手掛ける会社, 愛知県豊田市梅坪町９丁目３０番地３,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.vuteq.co.jp/,https://www.vuteq.co.jp/contact/
製造業界,化学業界,ＤＩＣ株式会社,https://baseconnect.in/companies/caf31539-5d27-40e6-afbe-94a4b0aeb0a3,印刷インキや有機顔料およびコーティング用樹脂の製造・販売などを行う会社, 東京都板橋区坂下３丁目３５番５８号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.dic-global.com/ja/,https://www.dic-global.com/ja/contact/
製造業界,建設・工事業界,株式会社ユアテック,https://baseconnect.in/companies/83602d39-e46f-43cd-b7b0-20aa0ba8dfb0,オフィスビルや工場を対象に電気設備や空調設備を行う会社, 宮城県仙台市宮城野区榴岡４丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.yurtec.co.jp/,
製造業界,その他サービス業界,セントラル警備保障株式会社,https://baseconnect.in/companies/88a4ad8c-6d45-482a-94ed-6ce9b8d7b82b,警備請負サービスの提供およびセキュリティ機器の販売などを行う会社, 東京都新宿区西新宿２丁目４番１号新宿ＮＳビル,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.we-are-csp.co.jp/,https://www.we-are-csp.co.jp/contact/form.php
製造業界,機械業界,株式会社東芝,https://baseconnect.in/companies/a8f6b6e5-30e0-4bf8-9fd5-a2aa325dc6e5,エネルギーやインフラシステム、デジタル領域のソリューションおよび電池事業を行う会社, 東京都港区芝浦１丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.global.toshiba/jp/top.html,https://www.global.toshiba/jp/contact/corporate.html
製造業界,化学業界,ＤＩＣ株式会社,https://baseconnect.in/companies/64487f6d-fe75-4498-9a7e-6e029a9180b0,グラビアインキなど、印刷関連製品や包装関連製品の製造と卸売を行う会社, 東京都中央区日本橋３丁目７番２０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.dic-global.com/ja/,http://www.dic-global.com/ja/contact/
製造業界,機械業界,イビデン株式会社,https://baseconnect.in/companies/53707179-72b4-4829-99a1-0f8cebfb6add,電子部品やセラミックス製品、建材などの生産・販売を行う会社, 岐阜県大垣市神田町２丁目１番地,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.ibiden.co.jp/,https://www.ibiden.co.jp/utility/
製造業界,製造業界,プランゼージャパン株式会社,https://baseconnect.in/companies/f289f582-5acd-4ead-9a16-510e42ce15d9,高性能モリブデンとタングステンを用いた産業向け製品の製造を行う会社, 東京都港区六本木１丁目９番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.plansee.com/ja.html,https://www.plansee.com/ja/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/%E9%80%A3%E7%B5%A1%E5%85%88/%E6%97%A5%E6%9C%AC.html
製造業界,機械業界,グローリー株式会社,https://baseconnect.in/companies/2843a464-0223-4863-bc24-3941401a3055,貨幣処理機や貨幣端末機、自動販売機などの製造・販売・保守を行う会社, 兵庫県姫路市下手野１丁目３番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.glory.co.jp/,https://form.glory.co.jp/webapp/form/20383_zdeb_27/index.do
製造業界,機械業界,株式会社マキタ,https://baseconnect.in/companies/6815e75d-474e-48fe-88c5-103b07268ef7,電動工具「40Vmax シリーズ」やエア工具、園芸用機器などの製造および販売を手掛ける会社, 愛知県安城市住吉町３丁目１１番８号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.makita.co.jp/,http://www.makita.co.jp/inquiry/index.html
製造業界,製造業界,大同特殊鋼株式会社,https://baseconnect.in/companies/7a5f662d-2f2e-4fb0-bf04-e19fd37e682f,特殊鋼鋼材・冷間塑性加工用ステンレス鋼などの製造や販売を行う会社, 愛知県名古屋市東区東桜１丁目１番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.daido.co.jp/,https://www.daido.co.jp/ask/index.html
製造業界,エネルギー業界,株式会社レゾナック・ホールディングス,https://baseconnect.in/companies/91e80e54-9f46-4437-917f-4ab4acac80ef,石油化学基礎製品や機能性化学品、電子機器材料などの製造販売を行う会社, 東京都港区東新橋１丁目９番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.resonac.com/jp,https://www.resonac.com/jp/inquiry
